date,Ceduna-Port Lincoln,Spencer Gulf N,Spencer Gulf S,SVG - NW,SVG - NE,SVG - SW,SVG - SE,Victor Harbor,Victor Harbour-Mt Gambier,Mt Gambier-Port Fairy
20221222,,19.835676193237305,18.08753776550293,19.49420738220215,19.556184768676758,18.153053283691406,18.65403175354004,17.468929290771484,15.632614135742188,
20221223,17.665573120117188,19.101171493530273,18.490156173706055,,19.4616641998291,,18.421382904052734,,,15.783220291137695
20221224,18.643592834472656,20.6900691986084,18.543771743774414,20.012168884277344,20.11554527282715,18.729936599731445,18.661378860473633,16.992183685302734,15.887967109680176,
20221225,,,,,,,,,16.69362449645996,16.040632247924805
20221226,18.64136505126953,20.906524658203125,18.790616989135742,,,,,,,17.870656967163086
20221227,20.87702178955078,23.263614654541016,20.702911376953125,22.80906105041504,23.30280113220215,21.119775772094727,21.879098892211914,20.678117752075195,17.587461471557617,17.190080642700195
20221228,17.830215454101562,,18.016000747680664,,,,,,,20.302364349365234
20221229,18.294300079345703,21.421737670898438,18.711753845214844,,,18.641517639160156,19.25252914428711,17.671140670776367,16.18157958984375,16.29364013671875
20221230,,,,,,,19.793804168701172,18.485633850097656,16.726062774658203,16.428272247314453
20221231,17.600780487060547,,,,,,,,,17.10478973388672
20230101,18.17283058166504,21.550039291381836,19.084856033325195,21.13249969482422,21.339868545532227,19.003000259399414,19.502944946289062,18.048660278320312,16.53390884399414,
20230102,18.59157371520996,21.94195556640625,19.57213592529297,21.61756706237793,21.95760154724121,19.455202102661133,20.218843460083008,19.68268394470215,17.25078582763672,19.604690551757812
20230103,18.93400001525879,22.012094497680664,,,,,,17.423437118530273,16.847850799560547,16.864107131958008
20230104,,22.548593521118164,20.023277282714844,,,,,18.50050926208496,,16.49207305908203
20230105,17.741748809814453,,,,,,,,,16.659746170043945
20230106,17.688987731933594,20.568674087524414,18.522972106933594,20.183618545532227,20.012462615966797,18.512693405151367,19.316041946411133,17.42493438720703,,17.871082305908203
20230107,18.040111541748047,21.457359313964844,19.33428382873535,20.991580963134766,21.036195755004883,19.29058837890625,19.9680233001709,18.278663635253906,16.239089965820312,16.119579315185547
20230108,18.657447814941406,21.95562171936035,19.994518280029297,21.66779136657715,21.55978012084961,20.154693603515625,20.614761352539062,19.191450119018555,17.04151725769043,17.216533660888672
20230109,18.96559715270996,21.842187881469727,20.023853302001953,22.10643768310547,22.383142471313477,19.903331756591797,20.559566497802734,18.56635856628418,16.66521644592285,17.723783493041992
20230110,,,,,,,,,18.07181739807129,17.159351348876953
20230111,18.124099731445312,21.889514923095703,19.27579689025879,,,,,,,18.42369842529297
20230112,18.403701782226562,22.851789474487305,19.85977554321289,22.56903076171875,22.942808151245117,19.90045738220215,20.993690490722656,18.11660385131836,16.527711868286133,16.905174255371094
